VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
YV4H60CF7R;King;Sammamish;WA;98029;2024;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;0;5;255248927;POINT (-121.9993659 47.5484866);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032223
WMZYU7C08L;King;Medina;WA;98039;2020;MINI;COUNTRYMAN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17;0;48;109162553;POINT (-122.228025 47.61598);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033024200
5YJXCDE21K;King;Seattle;WA;98105;2019;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;289;0;46;477535726;POINT (-122.319115 47.66132);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033004202
SALGS4RY7M;King;Sammamish;WA;98075;2021;LAND ROVER;RANGE ROVER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19;0;41;150742756;POINT (-122.03309 47.58153);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032224
1G1RA6E46E;Thurston;Olympia;WA;98512;2014;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;0;22;244457433;POINT (-122.9131017 47.0135926);PUGET SOUND ENERGY INC;53067010910
5LMYJ9YY1P;Kitsap;Bremerton;WA;98312;2023;LINCOLN;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;0;35;245282740;POINT (-122.65223 47.57192);PUGET SOUND ENERGY INC;53035080900
WP0AD2A7XG;King;Seattle;WA;98199;2016;PORSCHE;PANAMERA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15;0;36;348308208;POINT (-122.394185 47.639195);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005600
2C4RC1N70P;Thurston;Olympia;WA;98516;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;0;22;251709209;POINT (-122.7474291 47.0821119);PUGET SOUND ENERGY INC;53067012225
WA15ABGE4R;King;Bellevue;WA;98008;2024;AUDI;Q8;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;48;253682012;POINT (-122.11832 47.6245);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023000
YV4BR0CL5K;King;Mercer Island;WA;98040;2019;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17;0;41;255580349;POINT (-122.2377542 47.582905);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024302
1C4RJYD67P;Clark;Washougal;WA;98671;2023;JEEP;GRAND CHEROKEE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;0;18;236603279;POINT (-122.35465 45.58359);BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA);53011040605
5YJSA1E42H;King;Bellevue;WA;98006;2017;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;210;0;41;186019746;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024905
1C4RJXU65R;King;Seattle;WA;98115;2024;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;0;43;252756374;POINT (-122.3185 47.67949);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002600
LYVBR0DM5K;Clark;Vancouver;WA;98683;2019;VOLVO;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17;52900;17;259388391;POINT (-122.4853873 45.6083347);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041310
YV4BR0CM7K;King;Seattle;WA;98115;2019;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17;0;46;300404471;POINT (-122.3185 47.67949);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002200
LYVBR0DL4K;King;Medina;WA;98039;2019;VOLVO;XC60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17;52900;48;311505449;POINT (-122.228025 47.61598);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024200
LPSEG3KA6N;Cowlitz;Longview;WA;98632;2022;POLESTAR;PS2;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;19;203021248;POINT (-122.9379953 46.1372997);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY;53015000705
KM8K23AG9K;King;Mercer Island;WA;98040;2019;HYUNDAI;KONA;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;258;0;41;125359440;POINT (-122.2377542 47.582905);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024601
1G1RG6E46C;King;Seattle;WA;98144;2012;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35;0;37;145607752;POINT (-122.30823 47.581975);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009400
2C4RC1R72M;Snohomish;Bothell;WA;98021;2021;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;0;1;244832829;POINT (-122.179458 47.802589);PUGET SOUND ENERGY INC;53061051926
YV4H60CA1P;King;Seattle;WA;98105;2023;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;0;46;219491667;POINT (-122.319115 47.66132);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033004102
7JRBR0FL7M;King;Seattle;WA;98199;2021;VOLVO;S60;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22;0;36;138971276;POINT (-122.394185 47.639195);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005600
WBA7J2C52J;King;Bellevue;WA;98006;2018;BMW;740E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14;90700;41;236624286;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025007
WAUUPBFF5J;King;Seattle;WA;98126;2018;AUDI;A3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16;0;34;200748383;POINT (-122.374105 47.54468);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033010501
